f_index,Faculty,key,Year,published_name,Other Authors,Author Contribution Index
0,A S Madhukumar,journals/cssp/MathewSVM20,2020,A. S. Madhukumar,"['Libin K. Mathew', 'Shanker Shreejith', 'A. Prasad Vinod']",4
0,A S Madhukumar,journals/ijscn/SiriginaMB20,2020,A. S. Madhukumar,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']",2
0,A S Madhukumar,journals/ijscn/SiriginaMB20a,2020,A. S. Madhukumar,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']",2
0,A S Madhukumar,journals/taes/RamabadranMW20,2020,A. S. Madhukumar,"['Swaminathan Ramabadran', 'Guohua Wang']",2
0,A S Madhukumar,journals/tgcn/RaoMS20,2020,A. S. Madhukumar,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']",2
0,A S Madhukumar,journals/tsp/TanMSK20,2020,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/tvlsi/MathewSVM20,2020,A. S. Madhukumar,"['Libin K. Mathew', 'Shanker Shreejith', 'A. Prasad Vinod']",4
0,A S Madhukumar,journals/vcomm/TanMSK20,2020,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/access/TanMSK19,2019,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/access/SharmaMR19,2019,A. S. Madhukumar,"['Shubha Sharma', 'Swaminathan Ramabadran']",2
0,A S Madhukumar,journals/dsp/RamabadranM19,2019,A. S. Madhukumar,['Swaminathan Ramabadran'],2
0,A S Madhukumar,journals/icl/SiriginaMB19,2019,A. S. Madhukumar,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']",2
0,A S Madhukumar,journals/icl/TanMSK19,2019,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/iet-spr/RamabadranMWT19,2019,A. S. Madhukumar,"['Swaminathan Ramabadran', 'Guohua Wang', 'Shang-Kee Ting']",2
0,A S Madhukumar,journals/tvt/TanMSK19,2019,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/twc/TanMSK19,2019,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/winet/RoyMC19,2019,A. S. Madhukumar,"['S. Barman Roy', 'Francois P. S. Chin']",2
0,A S Madhukumar,journals/wpc/RaoMS19,2019,A. S. Madhukumar,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']",2
0,A S Madhukumar,journals/corr/abs-1902-06869,2019,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/corr/abs-1909-02194,2019,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/access/RaoMS18,2018,A. S. Madhukumar,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']",2
0,A S Madhukumar,journals/sj/SiriginaM18,2018,A. S. Madhukumar,['Rajendra Prasad Sirigina'],2
0,A S Madhukumar,journals/tbc/RamabadranMWT18,2018,A. S. Madhukumar,"['Swaminathan Ramabadran', 'Guohua Wang', 'Shang-Kee Ting']",2
0,A S Madhukumar,journals/tvlsi/PhamVM18,2018,A. S. Madhukumar,"['Thinh Hung Pham', 'A. Prasad Vinod']",3
0,A S Madhukumar,journals/winet/SiriginaM18,2018,A. S. Madhukumar,['Rajendra Prasad Sirigina'],2
0,A S Madhukumar,journals/access/RamabadranMTS17,2017,A. S. Madhukumar,"['Swaminathan Ramabadran', 'Wee Teck Ng', 'Chong Meng Samson See']",2
0,A S Madhukumar,journals/cssp/SiriginaMV17,2017,A. S. Madhukumar,"['Rajendra Prasad Sirigina', 'A. Prasad Vinod']",2
0,A S Madhukumar,journals/dsp/SwaminathanMNS17,2017,A. S. Madhukumar,"['Swaminathan Ramabadran', 'Wee Teck Ng', 'Chong Meng Samson See']",2
0,A S Madhukumar,journals/dsp/JamesM17,2017,A. S. Madhukumar,['Ashish James'],2
0,A S Madhukumar,journals/icl/RaoSM17,2017,A. S. Madhukumar,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']",3
0,A S Madhukumar,journals/tbc/RamabadranM17,2017,A. S. Madhukumar,['Swaminathan Ramabadran'],2
0,A S Madhukumar,journals/tvt/RoyMJ17,2017,A. S. Madhukumar,"['Swagato Barman Roy', 'Jingon Joung']",2
0,A S Madhukumar,journals/winet/SiriginaM17,2017,A. S. Madhukumar,['Rajendra Prasad Sirigina'],2
0,A S Madhukumar,journals/corr/abs-1712-07781,2017,A. S. Madhukumar,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",2
0,A S Madhukumar,journals/access/JacobSMP16,2016,A. S. Madhukumar,"['Ponnu Jacob', 'Rajendra Prasad Sirigina', 'Vinod Achutavarrier Prasad']",3
0,A S Madhukumar,journals/tcom/SiriginaM16,2016,A. S. Madhukumar,['Rajendra Prasad Sirigina'],2
0,A S Madhukumar,journals/tvt/NguyenMN16,2016,A. S. Madhukumar,"['Duy Duong Nguyen', 'Dusit Niyato']",2
0,A S Madhukumar,journals/twc/SiriginaM16,2016,A. S. Madhukumar,['Rajendra Prasad Sirigina'],2
0,A S Madhukumar,journals/winet/JacobM16,2016,A. S. Madhukumar,['Ponnu Jacob'],2
