f_index,Faculty,key,Year,Full Authors List,published_name,Author Contribution Index,Other Authors
0,A S Madhukumar,journals/cssp/MathewSVM20,2020,"['Libin K. Mathew', 'Shanker Shreejith', 'A. Prasad Vinod']",A. S. Madhukumar,4,"['Libin K. Mathew', 'Shanker Shreejith', 'A. Prasad Vinod']"
0,A S Madhukumar,journals/ijscn/SiriginaMB20,2020,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']",A. S. Madhukumar,2,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']"
0,A S Madhukumar,journals/ijscn/SiriginaMB20a,2020,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']",A. S. Madhukumar,2,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']"
0,A S Madhukumar,journals/taes/RamabadranMW20,2020,"['Swaminathan Ramabadran', 'Guohua Wang']",A. S. Madhukumar,2,"['Swaminathan Ramabadran', 'Guohua Wang']"
0,A S Madhukumar,journals/tgcn/RaoMS20,2020,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']",A. S. Madhukumar,2,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']"
0,A S Madhukumar,journals/tsp/TanMSK20,2020,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",A. S. Madhukumar,2,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']"
0,A S Madhukumar,journals/tvlsi/MathewSVM20,2020,"['Libin K. Mathew', 'Shanker Shreejith', 'A. Prasad Vinod']",A. S. Madhukumar,4,"['Libin K. Mathew', 'Shanker Shreejith', 'A. Prasad Vinod']"
0,A S Madhukumar,journals/vcomm/TanMSK20,2020,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",A. S. Madhukumar,2,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']"
0,A S Madhukumar,journals/access/TanMSK19,2019,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",A. S. Madhukumar,2,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']"
0,A S Madhukumar,journals/access/SharmaMR19,2019,"['Shubha Sharma', 'Swaminathan Ramabadran']",A. S. Madhukumar,2,"['Shubha Sharma', 'Swaminathan Ramabadran']"
0,A S Madhukumar,journals/dsp/RamabadranM19,2019,['Swaminathan Ramabadran'],A. S. Madhukumar,2,['Swaminathan Ramabadran']
0,A S Madhukumar,journals/icl/SiriginaMB19,2019,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']",A. S. Madhukumar,2,"['Rajendra Prasad Sirigina', 'Mark D. J. Bowyer']"
0,A S Madhukumar,journals/icl/TanMSK19,2019,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",A. S. Madhukumar,2,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']"
0,A S Madhukumar,journals/iet-spr/RamabadranMWT19,2019,"['Swaminathan Ramabadran', 'Guohua Wang', 'Shang-Kee Ting']",A. S. Madhukumar,2,"['Swaminathan Ramabadran', 'Guohua Wang', 'Shang-Kee Ting']"
0,A S Madhukumar,journals/tvt/TanMSK19,2019,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",A. S. Madhukumar,2,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']"
0,A S Madhukumar,journals/twc/TanMSK19,2019,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",A. S. Madhukumar,2,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']"
0,A S Madhukumar,journals/winet/RoyMC19,2019,"['S. Barman Roy', 'Francois P. S. Chin']",A. S. Madhukumar,2,"['S. Barman Roy', 'Francois P. S. Chin']"
0,A S Madhukumar,journals/wpc/RaoMS19,2019,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']",A. S. Madhukumar,2,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']"
0,A S Madhukumar,journals/corr/abs-1902-06869,2019,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",A. S. Madhukumar,2,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']"
0,A S Madhukumar,journals/corr/abs-1909-02194,2019,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']",A. S. Madhukumar,2,"['Zheng Hui Ernest Tan', 'Rajendra Prasad Sirigina', 'Anoop Kumar Krishna']"
0,A S Madhukumar,journals/access/RaoMS18,2018,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']",A. S. Madhukumar,2,"['Yepuri Sudhakara Rao', 'Rajendra Prasad Sirigina']"
0,A S Madhukumar,journals/sj/SiriginaM18,2018,['Rajendra Prasad Sirigina'],A. S. Madhukumar,2,['Rajendra Prasad Sirigina']
0,A S Madhukumar,journals/tbc/RamabadranMWT18,2018,"['Swaminathan Ramabadran', 'Guohua Wang', 'Shang-Kee Ting']",A. S. Madhukumar,2,"['Swaminathan Ramabadran', 'Guohua Wang', 'Shang-Kee Ting']"
0,A S Madhukumar,journals/tvlsi/PhamVM18,2018,"['Thinh Hung Pham', 'A. Prasad Vinod']",A. S. Madhukumar,3,"['Thinh Hung Pham', 'A. Prasad Vinod']"
0,A S Madhukumar,journals/winet/SiriginaM18,2018,['Rajendra Prasad Sirigina'],A. S. Madhukumar,2,['Rajendra Prasad Sirigina']
0,A S Madhukumar,journals/access/RamabadranMTS17,2017,"['Swaminathan Ramabadran', 'Wee Teck Ng', 'Chong Meng Samson See']",A. S. Madhukumar,2,"['Swaminathan Ramabadran', 'Wee Teck Ng', 'Chong Meng Samson See']"
0,A S Madhukumar,journals/cssp/SiriginaMV17,2017,"['Rajendra Prasad Sirigina', 'A. Prasad Vinod']",A. S. Madhukumar,2,"['Rajendra Prasad Sirigina', 'A. Prasad Vinod']"
0,A S Madhukumar,journals/dsp/SwaminathanMNS17,2017,"['Swaminathan Ramabadran', 'Wee Teck Ng', 'Chong Meng Samson See']",A. S. Madhukumar,2,"['Swaminathan Ramabadran', 'Wee Teck Ng', 'Chong Meng Samson See']"
0,A S Madhukumar,journals/dsp/JamesM17,2017,['Ashish James'],A. S. Madhukumar,2,['Ashish James']
